year	gpa	school	name2
1921	2.47	Stanford	Stanford
1922	2.48	Stanford	Stanford
1923	2.49	Stanford	Stanford
1924	2.5	Stanford	Stanford
1925	2.5	Stanford	Stanford
1926	2.49	Stanford	Stanford
1927	2.53	Stanford	Stanford
1928	2.55	Stanford	Stanford
1929	2.55	Stanford	Stanford
1930	2.51	Stanford	Stanford
1931	2.55	Stanford	Stanford
1932	2.56	Stanford	Stanford
1933	2.55	Stanford	Stanford
1934	2.52	Stanford	Stanford
1935	2.48	Stanford	Stanford
1936	2.48	Stanford	Stanford
1937	2.52	Stanford	Stanford
1938	2.52	Stanford	Stanford
1939	2.57	Stanford	Stanford
1940	2.53	Stanford	Stanford
1941	2.53	Stanford	Stanford
1942	2.55	Stanford	Stanford
1943	2.6	Stanford	Stanford
1944	2.6	Stanford	Stanford
1945	2.57	Stanford	Stanford
1946	2.58	Stanford	Stanford
1947	2.6	Stanford	Stanford
1968	2.98	Stanford	Stanford
1973	3.37	Stanford	Stanford
1975	3.28	Stanford	Stanford
1978	3.28	Stanford	Stanford
1980	3.27	Stanford	Stanford
1982	3.24	Stanford	Stanford
1986	3.3	Stanford	Stanford
1988	3.34	Stanford	Stanford
1990	3.37	Stanford	Stanford
1992	3.4	Stanford	Stanford
2005	3.55	Stanford	Stanford
1995	2.9	stetson	Stetson
1996	2.97	stetson	Stetson
1997	3.02	stetson	Stetson
1998	3.03	stetson	Stetson
1999	3.05	stetson	Stetson
2000	3.07	stetson	Stetson
2001	3.11	stetson	Stetson
2002	3.14	stetson	Stetson
2003	3.13	stetson	Stetson
2004	3.15	stetson	Stetson
2005	3.12	stetson	Stetson
2006	3.11	stetson	Stetson
2007	3.15	stetson	Stetson
1998	2.66	Sunyoswego	SUNY-Oswego
1999	2.66	Sunyoswego	SUNY-Oswego
2000	2.7	Sunyoswego	SUNY-Oswego
2001	2.74	Sunyoswego	SUNY-Oswego
2002	2.71	Sunyoswego	SUNY-Oswego
2003	2.67	Sunyoswego	SUNY-Oswego
2004	2.73	Sunyoswego	SUNY-Oswego
2005	2.71	Sunyoswego	SUNY-Oswego
2006	2.74	Sunyoswego	SUNY-Oswego
1998	3.04	Syracuse	Syracuse
2000	3.1	Syracuse	Syracuse
2002	3.15	Syracuse	Syracuse
1985	2.7	Texasaandm	Texas.A&M
1986	2.69	Texasaandm	Texas.A&M
1987	2.69	Texasaandm	Texas.A&M
1988	2.71	Texasaandm	Texas.A&M
1989	2.74	Texasaandm	Texas.A&M
1990	2.77	Texasaandm	Texas.A&M
1991	2.84	Texasaandm	Texas.A&M
1992	2.84	Texasaandm	Texas.A&M
1993	2.86	Texasaandm	Texas.A&M
1994	2.86	Texasaandm	Texas.A&M
1995	2.89	Texasaandm	Texas.A&M
1996	2.92	Texasaandm	Texas.A&M
1997	2.9	Texasaandm	Texas.A&M
1998	2.9	Texasaandm	Texas.A&M
1999	2.96	Texasaandm	Texas.A&M
2000	2.94	Texasaandm	Texas.A&M
2001	2.97	Texasaandm	Texas.A&M
2002	2.96	Texasaandm	Texas.A&M
2003	2.97	Texasaandm	Texas.A&M
2004	2.97	Texasaandm	Texas.A&M
2005	2.95	Texasaandm	Texas.A&M
2006	2.95	Texasaandm	Texas.A&M
2007	2.96	Texasaandm	Texas.A&M
2008	2.98	Texasaandm	Texas.A&M
2004	2.87	Texasaandmkingsville	Texas.A&M-Kingsville
2005	2.93	Texasaandmkingsville	Texas.A&M-Kingsville
2006	2.93	Texasaandmkingsville	Texas.A&M-Kingsville
2007	2.95	Texasaandmkingsville	Texas.A&M-Kingsville
2008	2.97	Texasaandmkingsville	Texas.A&M-Kingsville
1960	2.29	Texasstate	Texas.State.
1961	2.29	Texasstate	Texas.State.
1962	2.25	Texasstate	Texas.State.
1963	2.31	Texasstate	Texas.State.
1964	2.27	Texasstate	Texas.State.
1965	2.23	Texasstate	Texas.State.
1966	2.24	Texasstate	Texas.State.
1967	2.35	Texasstate	Texas.State.
1968	2.22	Texasstate	Texas.State.
1969	2.28	Texasstate	Texas.State.
1970	2.35	Texasstate	Texas.State.
1971	2.35	Texasstate	Texas.State.
1972	2.43	Texasstate	Texas.State.
1978	2.64	Texasstate	Texas.State.
1981	2.52	Texasstate	Texas.State.
1982	2.52	Texasstate	Texas.State.
1986	2.57	Texasstate	Texas.State.
1987	2.52	Texasstate	Texas.State.
1988	2.56	Texasstate	Texas.State.
1989	2.61	Texasstate	Texas.State.
1990	2.55	Texasstate	Texas.State.
1991	2.55	Texasstate	Texas.State.
1992	2.62	Texasstate	Texas.State.
1993	2.64	Texasstate	Texas.State.
1994	2.66	Texasstate	Texas.State.
1995	2.68	Texasstate	Texas.State.
1997	2.73	Texasstate	Texas.State.
1998	2.71	Texasstate	Texas.State.
1999	2.74	Texasstate	Texas.State.
2000	2.75	Texasstate	Texas.State.
2001	2.8	Texasstate	Texas.State.
2002	2.8	Texasstate	Texas.State.
2003	2.84	Texasstate	Texas.State.
2004	2.85	Texasstate	Texas.State.
2005	2.83	Texasstate	Texas.State.
2006	2.82	Texasstate	Texas.State.
2007	2.83	Texasstate	Texas.State.
2008	2.85	Texasstate	Texas.State.
1996	2.81	Towson	Towson
1997	2.88	Towson	Towson
1998	2.91	Towson	Towson
1999	2.9	Towson	Towson
2000	2.98	Towson	Towson
2001	3.03	Towson	Towson
2002	3.04	Towson	Towson
2003	3.08	Towson	Towson
2004	3.08	Towson	Towson
2005	3.05	Towson	Towson
2006	3.04	Towson	Towson
2007	3.12	Towson	Towson
2008	3.14	Towson	Towson
1990	3.18	Tufts	Tufts.University
1991	3.2	Tufts	Tufts.University
1992	3.2	Tufts	Tufts.University
1993	3.21	Tufts	Tufts.University
1994	3.22	Tufts	Tufts.University
1995	3.22	Tufts	Tufts.University
1996	3.25	Tufts	Tufts.University
1997	3.26	Tufts	Tufts.University
1998	3.29	Tufts	Tufts.University
1999	3.28	Tufts	Tufts.University
2000	3.29	Tufts	Tufts.University
2001	3.33	Tufts	Tufts.University
2002	3.34	Tufts	Tufts.University
2003	3.39	Tufts	Tufts.University
2004	3.39	Tufts	Tufts.University
1960	2.51	Ucberkeley	UC-Berkeley
1961	2.52	Ucberkeley	UC-Berkeley
1962	2.53	Ucberkeley	UC-Berkeley
1963	2.54	Ucberkeley	UC-Berkeley
1964	2.56	Ucberkeley	UC-Berkeley
1965	2.59	Ucberkeley	UC-Berkeley
1966	2.63	Ucberkeley	UC-Berkeley
1967	2.69	Ucberkeley	UC-Berkeley
1968	2.74	Ucberkeley	UC-Berkeley
1969	2.78	Ucberkeley	UC-Berkeley
1970	2.84	Ucberkeley	UC-Berkeley
1971	2.88	Ucberkeley	UC-Berkeley
1972	2.92	Ucberkeley	UC-Berkeley
1973	2.94	Ucberkeley	UC-Berkeley
1974	2.99	Ucberkeley	UC-Berkeley
1986	2.95	Ucberkeley	UC-Berkeley
1996	3.1	Ucberkeley	UC-Berkeley
1997	3.12	Ucberkeley	UC-Berkeley
2005	3.24	Ucberkeley	UC-Berkeley
2006	3.27	Ucberkeley	UC-Berkeley
1982	2.9	Ucirvine	UC-Irvine
1983	2.9	Ucirvine	UC-Irvine
1984	2.88	Ucirvine	UC-Irvine
1985	2.87	Ucirvine	UC-Irvine
1986	2.86	Ucirvine	UC-Irvine
1987	2.85	Ucirvine	UC-Irvine
1988	2.86	Ucirvine	UC-Irvine
1989	2.88	Ucirvine	UC-Irvine
1990	2.9	Ucirvine	UC-Irvine
1991	2.93	Ucirvine	UC-Irvine
1992	2.93	Ucirvine	UC-Irvine
1993	2.94	Ucirvine	UC-Irvine
1994	2.94	Ucirvine	UC-Irvine
1995	2.92	Ucirvine	UC-Irvine
1996	2.92	Ucirvine	UC-Irvine
1997	2.93	Ucirvine	UC-Irvine
1998	2.93	Ucirvine	UC-Irvine
1999	2.95	Ucirvine	UC-Irvine
2000	2.95	Ucirvine	UC-Irvine
2001	2.95	Ucirvine	UC-Irvine
2002	2.96	Ucirvine	UC-Irvine
2005	2.99	Ucirvine	UC-Irvine
2006	2.98	Ucirvine	UC-Irvine
2008	2.98	Ucirvine	UC-Irvine
1927	2.39	Ucla	UCLA
1928	2.4	Ucla	UCLA
1929	2.34	Ucla	UCLA
1930	2.39	Ucla	UCLA
1931	2.39	Ucla	UCLA
1932	2.33	Ucla	UCLA
1933	2.34	Ucla	UCLA
1934	2.38	Ucla	UCLA
1935	2.41	Ucla	UCLA
1938	2.42	Ucla	UCLA
1949	2.48	Ucla	UCLA
1950	2.5	Ucla	UCLA
1951	2.53	Ucla	UCLA
1952	2.55	Ucla	UCLA
1953	2.57	Ucla	UCLA
1954	2.6	Ucla	UCLA
1955	2.6	Ucla	UCLA
1956	2.61	Ucla	UCLA
1957	2.59	Ucla	UCLA
1958	2.61	Ucla	UCLA
1959	2.63	Ucla	UCLA
1960	2.67	Ucla	UCLA
1961	2.64	Ucla	UCLA
1962	2.65	Ucla	UCLA
1963	2.66	Ucla	UCLA
1964	2.67	Ucla	UCLA
1965	2.7	Ucla	UCLA
1966	2.72	Ucla	UCLA
1967	2.77	Ucla	UCLA
1968	2.84	Ucla	UCLA
1969	2.9	Ucla	UCLA
1970	2.92	Ucla	UCLA
1971	2.9	Ucla	UCLA
1972	2.95	Ucla	UCLA
1973	2.96	Ucla	UCLA
1974	2.94	Ucla	UCLA
1975	2.9	Ucla	UCLA
1976	2.89	Ucla	UCLA
1977	2.87	Ucla	UCLA
1978	2.86	Ucla	UCLA
1979	2.88	Ucla	UCLA
1980	2.87	Ucla	UCLA
1981	2.87	Ucla	UCLA
1982	2.84	Ucla	UCLA
1983	2.83	Ucla	UCLA
1984	2.85	Ucla	UCLA
1985	2.86	Ucla	UCLA
1986	2.88	Ucla	UCLA
1987	2.87	Ucla	UCLA
1988	2.91	Ucla	UCLA
1989	2.96	Ucla	UCLA
1990	3	Ucla	UCLA
1991	3.01	Ucla	UCLA
1992	3.04	Ucla	UCLA
1993	3.03	Ucla	UCLA
1994	3.01	Ucla	UCLA
1995	3.03	Ucla	UCLA
1996	3.05	Ucla	UCLA
1997	3.04	Ucla	UCLA
1998	3.06	Ucla	UCLA
1999	3.1	Ucla	UCLA
2000	3.13	Ucla	UCLA
2001	3.16	Ucla	UCLA
2002	3.19	Ucla	UCLA
2003	3.18	Ucla	UCLA
2004	3.19	Ucla	UCLA
2005	3.19	Ucla	UCLA
2006	3.19	Ucla	UCLA
2007	3.21	Ucla	UCLA
2008	3.22	Ucla	UCLA
2007	3.035	Connecticut	Uconn
2008	3.073	Connecticut	Uconn
1992	3	UCriverside	UC-Riverside
1993	2.99	UCriverside	UC-Riverside
1994	2.94	UCriverside	UC-Riverside
1995	2.94	UCriverside	UC-Riverside
1996	2.89	UCriverside	UC-Riverside
1997	2.82	UCriverside	UC-Riverside
1998	2.76	UCriverside	UC-Riverside
1999	2.73	UCriverside	UC-Riverside
2000	2.74	UCriverside	UC-Riverside
2000	3	Ucsandiego	UC-San.Diego
2001	3.01	Ucsandiego	UC-San.Diego
2002	3.01	Ucsandiego	UC-San.Diego
2003	3.01	Ucsandiego	UC-San.Diego
2004	3.02	Ucsandiego	UC-San.Diego
2005	3.01	Ucsandiego	UC-San.Diego
2006	3.01	Ucsandiego	UC-San.Diego
2007	3.01	Ucsandiego	UC-San.Diego
2008	3.02	Ucsandiego	UC-San.Diego
1994	2.84	ucsantabarbara	UC-Santa.Barbara
1995	2.86	ucsantabarbara	UC-Santa.Barbara
1996	2.86	ucsantabarbara	UC-Santa.Barbara
1997	2.86	ucsantabarbara	UC-Santa.Barbara
1998	2.91	ucsantabarbara	UC-Santa.Barbara
1999	2.93	ucsantabarbara	UC-Santa.Barbara
2000	2.97	ucsantabarbara	UC-Santa.Barbara
2001	2.98	ucsantabarbara	UC-Santa.Barbara
2002	2.99	ucsantabarbara	UC-Santa.Barbara
2003	2.98	ucsantabarbara	UC-Santa.Barbara
2004	3	ucsantabarbara	UC-Santa.Barbara
2005	3.01	ucsantabarbara	UC-Santa.Barbara
2006	3.02	ucsantabarbara	UC-Santa.Barbara
1986	2.66	Hawaiihilo	UH-Hilo
1987	2.7	Hawaiihilo	UH-Hilo
1988	2.7	Hawaiihilo	UH-Hilo
1989	2.84	Hawaiihilo	UH-Hilo
1990	2.78	Hawaiihilo	UH-Hilo
1991	2.79	Hawaiihilo	UH-Hilo
1992	2.82	Hawaiihilo	UH-Hilo
1993	2.85	Hawaiihilo	UH-Hilo
1994	2.79	Hawaiihilo	UH-Hilo
1995	2.81	Hawaiihilo	UH-Hilo
1996	2.88	Hawaiihilo	UH-Hilo
1997	2.84	Hawaiihilo	UH-Hilo
1998	2.87	Hawaiihilo	UH-Hilo
1999	2.91	Hawaiihilo	UH-Hilo
2000	2.9	Hawaiihilo	UH-Hilo
2001	2.91	Hawaiihilo	UH-Hilo
2002	3.04	Hawaiihilo	UH-Hilo
2003	2.95	Hawaiihilo	UH-Hilo
2004	2.92	Hawaiihilo	UH-Hilo
2005	2.98	Hawaiihilo	UH-Hilo
2006	2.95	Hawaiihilo	UH-Hilo
2007	2.99	Hawaiihilo	UH-Hilo
1986	2.86	Hawaiimanoa	UH-Manoa
1987	2.86	Hawaiimanoa	UH-Manoa
1988	2.88	Hawaiimanoa	UH-Manoa
1989	2.89	Hawaiimanoa	UH-Manoa
1990	2.92	Hawaiimanoa	UH-Manoa
1991	2.94	Hawaiimanoa	UH-Manoa
1992	2.93	Hawaiimanoa	UH-Manoa
1993	2.95	Hawaiimanoa	UH-Manoa
1994	2.96	Hawaiimanoa	UH-Manoa
1995	2.98	Hawaiimanoa	UH-Manoa
1996	3	Hawaiimanoa	UH-Manoa
1997	2.99	Hawaiimanoa	UH-Manoa
1998	2.96	Hawaiimanoa	UH-Manoa
1999	2.95	Hawaiimanoa	UH-Manoa
2000	2.98	Hawaiimanoa	UH-Manoa
2001	3.01	Hawaiimanoa	UH-Manoa
2002	3.03	Hawaiimanoa	UH-Manoa
2003	2.98	Hawaiimanoa	UH-Manoa
2004	3.01	Hawaiimanoa	UH-Manoa
2005	3	Hawaiimanoa	UH-Manoa
2006	3.04	Hawaiimanoa	UH-Manoa
2007	3.04	Hawaiimanoa	UH-Manoa
1986	2.75	michiganflint	UM-Flint
1987	2.78	michiganflint	UM-Flint
1988	2.82	michiganflint	UM-Flint
1989	2.83	michiganflint	UM-Flint
1990	2.86	michiganflint	UM-Flint
1991	2.88	michiganflint	UM-Flint
1992	2.89	michiganflint	UM-Flint
1993	2.91	michiganflint	UM-Flint
1994	2.91	michiganflint	UM-Flint
1995	2.91	michiganflint	UM-Flint
1996	2.89	michiganflint	UM-Flint
1997	2.89	michiganflint	UM-Flint
1998	2.93	michiganflint	UM-Flint
1999	2.96	michiganflint	UM-Flint
2000	2.95	michiganflint	UM-Flint
2001	2.97	michiganflint	UM-Flint
2002	2.99	michiganflint	UM-Flint
2003	3.03	michiganflint	UM-Flint
2004	3.04	michiganflint	UM-Flint
2005	3	michiganflint	UM-Flint
1981	2.58	Northcarolinaasheville	UNC-Asheville
1982	2.52	Northcarolinaasheville	UNC-Asheville
1983	2.51	Northcarolinaasheville	UNC-Asheville
1984	2.54	Northcarolinaasheville	UNC-Asheville
1985	2.55	Northcarolinaasheville	UNC-Asheville
1986	2.57	Northcarolinaasheville	UNC-Asheville
1987	2.6	Northcarolinaasheville	UNC-Asheville
1988	2.64	Northcarolinaasheville	UNC-Asheville
1989	2.65	Northcarolinaasheville	UNC-Asheville
1990	2.71	Northcarolinaasheville	UNC-Asheville
1991	2.76	Northcarolinaasheville	UNC-Asheville
1992	2.77	Northcarolinaasheville	UNC-Asheville
1993	2.83	Northcarolinaasheville	UNC-Asheville
1994	2.84	Northcarolinaasheville	UNC-Asheville
1995	2.85	Northcarolinaasheville	UNC-Asheville
1996	2.87	Northcarolinaasheville	UNC-Asheville
1997	2.85	Northcarolinaasheville	UNC-Asheville
1998	2.91	Northcarolinaasheville	UNC-Asheville
1999	2.94	Northcarolinaasheville	UNC-Asheville
2000	2.93	Northcarolinaasheville	UNC-Asheville
2001	3.02	Northcarolinaasheville	UNC-Asheville
2002	2.99	Northcarolinaasheville	UNC-Asheville
2003	3.02	Northcarolinaasheville	UNC-Asheville
2004	3.04	Northcarolinaasheville	UNC-Asheville
2005	3.08	Northcarolinaasheville	UNC-Asheville
2006	3.03	Northcarolinaasheville	UNC-Asheville
1967	2.49	northcarolinachapelhill	UNC-Chapel.Hill
1968	2.53	northcarolinachapelhill	UNC-Chapel.Hill
1969	2.55	northcarolinachapelhill	UNC-Chapel.Hill
1970	2.61	northcarolinachapelhill	UNC-Chapel.Hill
1971	2.66	northcarolinachapelhill	UNC-Chapel.Hill
1972	2.71	northcarolinachapelhill	UNC-Chapel.Hill
1973	2.76	northcarolinachapelhill	UNC-Chapel.Hill
1974	2.79	northcarolinachapelhill	UNC-Chapel.Hill
1975	2.82	northcarolinachapelhill	UNC-Chapel.Hill
1976	2.84	northcarolinachapelhill	UNC-Chapel.Hill
1977	2.82	northcarolinachapelhill	UNC-Chapel.Hill
1978	2.81	northcarolinachapelhill	UNC-Chapel.Hill
1979	2.8	northcarolinachapelhill	UNC-Chapel.Hill
1980	2.79	northcarolinachapelhill	UNC-Chapel.Hill
1981	2.79	northcarolinachapelhill	UNC-Chapel.Hill
1982	2.78	northcarolinachapelhill	UNC-Chapel.Hill
1983	2.78	northcarolinachapelhill	UNC-Chapel.Hill
1984	2.78	northcarolinachapelhill	UNC-Chapel.Hill
1985	2.77	northcarolinachapelhill	UNC-Chapel.Hill
1986	2.77	northcarolinachapelhill	UNC-Chapel.Hill
1987	2.79	northcarolinachapelhill	UNC-Chapel.Hill
1988	2.82	northcarolinachapelhill	UNC-Chapel.Hill
1989	2.86	northcarolinachapelhill	UNC-Chapel.Hill
1990	2.93	northcarolinachapelhill	UNC-Chapel.Hill
1991	2.93	northcarolinachapelhill	UNC-Chapel.Hill
1992	2.95	northcarolinachapelhill	UNC-Chapel.Hill
1993	3.01	northcarolinachapelhill	UNC-Chapel.Hill
1994	2.93	northcarolinachapelhill	UNC-Chapel.Hill
1995	2.98	northcarolinachapelhill	UNC-Chapel.Hill
1996	3.01	northcarolinachapelhill	UNC-Chapel.Hill
1997	3.04	northcarolinachapelhill	UNC-Chapel.Hill
1998	3.02	northcarolinachapelhill	UNC-Chapel.Hill
1999	3.01	northcarolinachapelhill	UNC-Chapel.Hill
2000	3.03	northcarolinachapelhill	UNC-Chapel.Hill
2001	3.06	northcarolinachapelhill	UNC-Chapel.Hill
2002	3.06	northcarolinachapelhill	UNC-Chapel.Hill
2003	3.1	northcarolinachapelhill	UNC-Chapel.Hill
2004	3.1	northcarolinachapelhill	UNC-Chapel.Hill
2005	3.13	northcarolinachapelhill	UNC-Chapel.Hill
2006	3.16	northcarolinachapelhill	UNC-Chapel.Hill
1988	2.71	northcarolinagreensboro	UNC-Greensboro
1989	2.72	northcarolinagreensboro	UNC-Greensboro
1991	2.7	northcarolinagreensboro	UNC-Greensboro
1993	2.73	northcarolinagreensboro	UNC-Greensboro
1994	2.78	northcarolinagreensboro	UNC-Greensboro
1996	2.77	northcarolinagreensboro	UNC-Greensboro
1997	2.82	northcarolinagreensboro	UNC-Greensboro
1998	2.84	northcarolinagreensboro	UNC-Greensboro
1999	2.85	northcarolinagreensboro	UNC-Greensboro
2000	2.86	northcarolinagreensboro	UNC-Greensboro
2001	2.85	northcarolinagreensboro	UNC-Greensboro
2002	2.86	northcarolinagreensboro	UNC-Greensboro
2003	2.87	northcarolinagreensboro	UNC-Greensboro
2004	2.87	northcarolinagreensboro	UNC-Greensboro
2005	2.89	northcarolinagreensboro	UNC-Greensboro
2006	2.89	northcarolinagreensboro	UNC-Greensboro
2007	2.91	northcarolinagreensboro	UNC-Greensboro
2008	2.9	northcarolinagreensboro	UNC-Greensboro
2001	2.78	northcarolinawilmington	UNC-Wilmington
2002	2.83	northcarolinawilmington	UNC-Wilmington
2003	2.87	northcarolinawilmington	UNC-Wilmington
2004	2.85	northcarolinawilmington	UNC-Wilmington
2005	2.85	northcarolinawilmington	UNC-Wilmington
2006	2.84	northcarolinawilmington	UNC-Wilmington
1991	2.97	arizona	University.of.Arizona
1992	3	arizona	University.of.Arizona
1993	3.02	arizona	University.of.Arizona
1994	3.05	arizona	University.of.Arizona
1995	3.06	arizona	University.of.Arizona
1996	3.08	arizona	University.of.Arizona
1997	3.09	arizona	University.of.Arizona
1998	3.1	arizona	University.of.Arizona
1989	2.64	Charleston	University.of.Charleston
1994	2.65	Charleston	University.of.Charleston
1996	2.68	Charleston	University.of.Charleston
2000	2.73	Charleston	University.of.Charleston
2002	2.84	Charleston	University.of.Charleston
2005	3.01	Charleston	University.of.Charleston
1989	2.83	Colorado	University.of.Colorado
1993	2.87	Colorado	University.of.Colorado
1994	2.86	Colorado	University.of.Colorado
2001	2.94	Colorado	University.of.Colorado
2002	2.97	Colorado	University.of.Colorado
2003	2.97	Colorado	University.of.Colorado
2004	2.96	Colorado	University.of.Colorado
2005	2.93	Colorado	University.of.Colorado
2006	2.92	Colorado	University.of.Colorado
1989	2.88	Florida	University.of.Florida
1990	2.89	Florida	University.of.Florida
1991	2.89	Florida	University.of.Florida
1992	2.94	Florida	University.of.Florida
1993	2.96	Florida	University.of.Florida
1994	2.97	Florida	University.of.Florida
1995	2.98	Florida	University.of.Florida
1996	3.04	Florida	University.of.Florida
1997	3.06	Florida	University.of.Florida
1998	3.08	Florida	University.of.Florida
1999	3.13	Florida	University.of.Florida
2000	3.15	Florida	University.of.Florida
2001	3.19	Florida	University.of.Florida
2002	3.22	Florida	University.of.Florida
2003	3.22	Florida	University.of.Florida
2004	3.25	Florida	University.of.Florida
2005	3.25	Florida	University.of.Florida
2006	3.29	Florida	University.of.Florida
1974	2.74	Georgia	University.of.Georgia
1975	2.74	Georgia	University.of.Georgia
1976	2.72	Georgia	University.of.Georgia
1977	2.66	Georgia	University.of.Georgia
1978	2.71	Georgia	University.of.Georgia
1979	2.7	Georgia	University.of.Georgia
1980	2.69	Georgia	University.of.Georgia
1981	2.66	Georgia	University.of.Georgia
1982	2.67	Georgia	University.of.Georgia
1983	2.66	Georgia	University.of.Georgia
1984	2.69	Georgia	University.of.Georgia
1985	2.63	Georgia	University.of.Georgia
1986	2.6	Georgia	University.of.Georgia
1987	2.61	Georgia	University.of.Georgia
1988	2.62	Georgia	University.of.Georgia
1989	2.66	Georgia	University.of.Georgia
1990	2.64	Georgia	University.of.Georgia
1991	2.73	Georgia	University.of.Georgia
1992	2.79	Georgia	University.of.Georgia
1993	2.81	Georgia	University.of.Georgia
1994	2.88	Georgia	University.of.Georgia
1995	2.93	Georgia	University.of.Georgia
1996	2.97	Georgia	University.of.Georgia
1997	3.02	Georgia	University.of.Georgia
1998	3.05	Georgia	University.of.Georgia
1999	3.07	Georgia	University.of.Georgia
2000	3.13	Georgia	University.of.Georgia
2001	3.15	Georgia	University.of.Georgia
2002	3.17	Georgia	University.of.Georgia
2003	3.23	Georgia	University.of.Georgia
2004	3.25	Georgia	University.of.Georgia
2005	3.22	Georgia	University.of.Georgia
2006	3.2	Georgia	University.of.Georgia
2007	3.2	Georgia	University.of.Georgia
1984	2.94	Kansas	University.of.Kansas
1988	3.02	Kansas	University.of.Kansas
1992	3.03	Kansas	University.of.Kansas
1996	3.07	Kansas	University.of.Kansas
2000	3.15	Kansas	University.of.Kansas
2004	3.16	Kansas	University.of.Kansas
2007	2.9739	Kentucky	University.of.Kentucky
2008	2.9778	Kentucky	University.of.Kentucky
1986	2.7	miami	University.of.Miami
1999	3.05	miami	University.of.Miami
1933	2.51	Michigan	University.of.Michigan
1951	2.58	Michigan	University.of.Michigan
1952	2.57	Michigan	University.of.Michigan
1953	2.58	Michigan	University.of.Michigan
1954	2.58	Michigan	University.of.Michigan
1955	2.58	Michigan	University.of.Michigan
1956	2.57	Michigan	University.of.Michigan
1957	2.57	Michigan	University.of.Michigan
1958	2.57	Michigan	University.of.Michigan
1959	2.57	Michigan	University.of.Michigan
1960	2.6	Michigan	University.of.Michigan
1961	2.6	Michigan	University.of.Michigan
1963	2.63	Michigan	University.of.Michigan
1964	2.68	Michigan	University.of.Michigan
1965	2.7	Michigan	University.of.Michigan
1966	2.76	Michigan	University.of.Michigan
1968	2.82	Michigan	University.of.Michigan
1969	2.87	Michigan	University.of.Michigan
1970	2.77	Michigan	University.of.Michigan
1971	2.83	Michigan	University.of.Michigan
1972	2.84	Michigan	University.of.Michigan
1973	2.88	Michigan	University.of.Michigan
1974	3.02	Michigan	University.of.Michigan
1975	3.01	Michigan	University.of.Michigan
1976	2.95	Michigan	University.of.Michigan
1977	2.93	Michigan	University.of.Michigan
1978	2.94	Michigan	University.of.Michigan
1979	2.94	Michigan	University.of.Michigan
1980	2.95	Michigan	University.of.Michigan
1981	2.94	Michigan	University.of.Michigan
1982	2.93	Michigan	University.of.Michigan
1983	2.94	Michigan	University.of.Michigan
1984	2.94	Michigan	University.of.Michigan
1985	2.98	Michigan	University.of.Michigan
1986	2.98	Michigan	University.of.Michigan
1987	2.99	Michigan	University.of.Michigan
1988	3.01	Michigan	University.of.Michigan
1989	3	Michigan	University.of.Michigan
1990	3.04	Michigan	University.of.Michigan
1991	3.01	Michigan	University.of.Michigan
1992	3.05	Michigan	University.of.Michigan
1993	3.03	Michigan	University.of.Michigan
1994	3.05	Michigan	University.of.Michigan
1995	3	Michigan	University.of.Michigan
1996	3.04	Michigan	University.of.Michigan
1997	3.04	Michigan	University.of.Michigan
1998	3.09	Michigan	University.of.Michigan
1999	3.11	Michigan	University.of.Michigan
2000	3.15	Michigan	University.of.Michigan
2001	3.17	Michigan	University.of.Michigan
2002	3.2	Michigan	University.of.Michigan
2003	3.22	Michigan	University.of.Michigan
2004	3.22	Michigan	University.of.Michigan
2005	3.24	Michigan	University.of.Michigan
2006	3.25	Michigan	University.of.Michigan
2007	3.26	Michigan	University.of.Michigan
2008	3.27	Michigan	University.of.Michigan
1995	2.96	Nebraskalincoln	University.of.Nebraska-Lincoln
1996	3	Nebraskalincoln	University.of.Nebraska-Lincoln
1997	3.02	Nebraskalincoln	University.of.Nebraska-Lincoln
1998	3.05	Nebraskalincoln	University.of.Nebraska-Lincoln
1999	3.07	Nebraskalincoln	University.of.Nebraska-Lincoln
2000	3.11	Nebraskalincoln	University.of.Nebraska-Lincoln
2001	3.05	Nebraskalincoln	University.of.Nebraska-Lincoln
2002	3.07	Nebraskalincoln	University.of.Nebraska-Lincoln
2003	3.09	Nebraskalincoln	University.of.Nebraska-Lincoln
2004	3.1	Nebraskalincoln	University.of.Nebraska-Lincoln
2005	3.08	Nebraskalincoln	University.of.Nebraska-Lincoln
2006	3.07	Nebraskalincoln	University.of.Nebraska-Lincoln
2007	3.08	Nebraskalincoln	University.of.Nebraska-Lincoln
2008	3.1	Nebraskalincoln	University.of.Nebraska-Lincoln
1993	2.88	Nevadareno	University.of.Nevada-Reno
1994	2.85	Nevadareno	University.of.Nevada-Reno
1995	2.91	Nevadareno	University.of.Nevada-Reno
1996	2.95	Nevadareno	University.of.Nevada-Reno
1997	2.98	Nevadareno	University.of.Nevada-Reno
1998	2.98	Nevadareno	University.of.Nevada-Reno
1999	2.99	Nevadareno	University.of.Nevada-Reno
2000	2.99	Nevadareno	University.of.Nevada-Reno
2001	2.97	Nevadareno	University.of.Nevada-Reno
2002	2.98	Nevadareno	University.of.Nevada-Reno
2003	2.95	Nevadareno	University.of.Nevada-Reno
2004	2.9	Nevadareno	University.of.Nevada-Reno
2005	2.92	Nevadareno	University.of.Nevada-Reno
2006	2.94	Nevadareno	University.of.Nevada-Reno
2007	2.95	Nevadareno	University.of.Nevada-Reno
2008	2.99	Nevadareno	University.of.Nevada-Reno
1997	2.48	Northflorida	University.of.North.Florida
